"";"year";"date";"cdu";"csu";"spd";"fdp";"gruene";"linke";"afd";"rep";"npd";"wbt";"others";"level"
"1";"1949";1949-08-14;0,251918748370898;0,0581672361975389;0,292215519055428;0,119242901623342;NA;NA;NA;NA;NA;0,784924130709102;0,278455594752793;"bundestagswahl"
"2";"1953";1953-09-06;0,363561943709895;0,0881043532218767;0,288369371838803;0,0954280078248293;NA;NA;NA;NA;NA;0,859865390293875;0,164536323404596;"bundestagswahl"
"3";"1957";1957-09-15;0,397096440151266;0,104765596399423;0,317519983328779;0,0771477004107749;NA;NA;NA;NA;NA;0,877742481460159;0,103470279709757;"bundestagswahl"
"4";"1961";1961-09-17;0,357641165303013;0,095543103507567;0,36218791342916;0,127690996843482;NA;NA;NA;NA;NA;0,877377047954346;0,0569368209167783;"bundestagswahl"
"5";"1965";1965-09-19;0,379748441176855;0,0961515481611193;0,392796210425352;0,0949324659671993;NA;NA;NA;NA;0,0203612507764303;0,86771914440244;0,016010083493044;"bundestagswahl"
"6";"1969";1969-09-28;0,366423776188478;0,0945110032074235;0,42667311047277;0,057738901118315;NA;NA;NA;NA;0,0431356235134695;0,866738896924767;0,0115175854995434;"bundestagswahl"
"7";"1972";1972-11-19;0,352133610074814;0,0965084657532418;0,45849662637898;0,083555869967098;NA;NA;NA;NA;0,00553834448975233;0,911096700496947;0,00376708333611409;"bundestagswahl"
"8";"1976";1976-10-03;0,379861246612466;0,106484209134774;0,425646612466125;0,0791879172450261;NA;NA;NA;NA;0,00324306960142772;0,907454928626565;0,00557694494018113;"bundestagswahl"
"9";"1980";1980-10-05;0,342370819079195;0,103019609303687;0,428600783979939;0,106249532637685;0,0150132920017014;NA;NA;NA;0,00179488215563829;0,885742168005679;0,00295108084215545;"bundestagswahl"
"10";"1983";1983-03-06;0,38154642726257;0,106337748997597;0,381755129281617;0,0695144900756373;0,055659803844755;NA;NA;NA;0,00233932698722033;0,890915804611747;0,00284707355060265;"bundestagswahl"
"11";"1987";1987-01-25;0,344511978785718;0,0981275437006776;0,370392289984934;0,090867563135378;0,0825581552261463;NA;NA;NA;0,00599604107172203;0,843304561848794;0,0075464280954245;"bundestagswahl"
"12";"1990";1990-12-02;0,367125876198979;0,0710994534758781;0,334627223501958;0,11028194731109;0,0384925257511596;0,0243151270847463;NA;0,0212518048349299;0,00313795237328098;0,777607378712488;0,0296680894679783;"bundestagswahl"
"13";"1994";1994-10-16;0,341575216344599;0,0727562539096024;0,363874125589686;0,0691730169598779;0,0726950928999859;0,0438630372111565;NA;0,0185805279054908;NA;0,789684243579068;0,0174827291796014;"bundestagswahl"
"14";"1998";1998-09-27;0,284026173817616;0,0674220305005351;0,409285703044537;0,0624832280479281;0,0669584999847491;0,0510145996699312;NA;0,0183818769465199;0,00256691988596208;0,822001739190512;0,0378609681022214;"bundestagswahl"
"15";"2002";2002-09-22;0,295179167305602;0,0899040929668176;0,385208831981012;0,0737307194194241;0,0856386760029069;0,0399342201761462;NA;0,00584774133436452;0,00448432885078239;0,790826842074181;0,0200722219629439;"bundestagswahl"
"16";"2005";2005-09-18;0,277802895737497;0,0738942202404551;0,342468895060623;0,0982943913790538;0,0811691544161278;NA;NA;0,00562724301148106;0,0158299820241876;0,776524679019771;0,104913218130575;"bundestagswahl"
"17";"2009";2009-09-27;0,272721984340296;0,0652561758162504;0,230348487094774;0,145628469036704;0,107058902464977;0,118879214520054;NA;0,00445908908655723;0,0146531603121796;0,707843727712282;0,040994517328208;"bundestagswahl"
"18";"2013";2013-09-22;0,341251998542955;0,074177960565013;0,257329614550838;0,047648817925533;0,0844802791218285;0,0858899848642217;0,0470416853203441;0,00208551467775319;0,0128257105884768;0,715288819940949;0,0472684338430369;"bundestagswahl"
"19";"2017";2017-09-24;0,267602372130128;0,0616931666551006;0,205079653892514;0,107479224341;0,0893981729785853;0,0923836299527908;0,126368974018376;NA;0,00378411562324225;0,7615090725603;0,0462106904082623;"bundestagswahl"
