"datum";"Â";"CDU/CSU";"SPD";"GRÃœNE";"FDP";"PDS";"Sonstige";"institut";"url"
"13.12.2000";"Â";"36 %";"40 %";"6 %";"8 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"06.12.2000";"Â";"38 %";"39 %";"6 %";"7 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"29.11.2000";"Â";"36 %";"40 %";"6 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"22.11.2000";"Â";"37 %";"39 %";"6 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"15.11.2000";"Â";"35 %";"41 %";"6 %";"6 %";"6 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"08.11.2000";"Â";"35 %";"41 %";"6 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"01.11.2000";"Â";"36 %";"41 %";"6 %";"7 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"25.10.2000";"Â";"35 %";"41 %";"6 %";"8 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"18.10.2000";"Â";"35 %";"42 %";"6 %";"7 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"11.10.2000";"Â";"35 %";"40 %";"7 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"04.10.2000";"Â";"36 %";"39 %";"7 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"27.09.2000";"Â";"36 %";"40 %";"6 %";"7 %";"6 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"20.09.2000";"Â";"34 %";"42 %";"6 %";"7 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"13.09.2000";"Â";"32 %";"44 %";"6 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"06.09.2000";"Â";"34 %";"43 %";"6 %";"7 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"30.08.2000";"Â";"33 %";"43 %";"6 %";"7 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"24.08.2000";"Â";"33 %";"43 %";"6 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"17.08.2000";"Â";"33 %";"43 %";"6 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"10.08.2000";"Â";"33 %";"42 %";"6 %";"9 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"03.08.2000";"Â";"33 %";"43 %";"6 %";"8 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"27.07.2000";"Â";"33 %";"42 %";"6 %";"9 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"20.07.2000";"Â";"33 %";"43 %";"5 %";"9 %";"4 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"13.07.2000";"Â";"37 %";"38 %";"5 %";"11 %";"4 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"06.07.2000";"Â";"38 %";"39 %";"5 %";"9 %";"4 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"29.06.2000";"Â";"37 %";"38 %";"5 %";"9 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"22.06.2000";"Â";"38 %";"36 %";"6 %";"10 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"15.06.2000";"Â";"38 %";"38 %";"6 %";"10 %";"4 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"08.06.2000";"Â";"37 %";"38 %";"6 %";"9 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"31.05.2000";"Â";"36 %";"40 %";"6 %";"9 %";"4 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"25.05.2000";"Â";"35 %";"40 %";"7 %";"9 %";"4 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"18.05.2000";"Â";"36 %";"40 %";"6 %";"8 %";"4 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"11.05.2000";"Â";"37 %";"41 %";"6 %";"6 %";"5 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"04.05.2000";"Â";"38 %";"40 %";"7 %";"6 %";"5 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"27.04.2000";"Â";"37 %";"39 %";"7 %";"6 %";"5 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"20.04.2000";"Â";"38 %";"41 %";"6 %";"5 %";"6 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"13.04.2000";"Â";"33 %";"41 %";"7 %";"7 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"06.04.2000";"Â";"33 %";"41 %";"7 %";"8 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"30.03.2000";"Â";"33 %";"41 %";"7 %";"7 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"23.03.2000";"Â";"31 %";"41 %";"7 %";"7 %";"7 %";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"16.03.2000";"Â";"32 %";"42 %";"7 %";"7 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"09.03.2000";"Â";"29 %";"43 %";"7 %";"8 %";"7 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"02.03.2000";"Â";"29 %";"44 %";"7 %";"8 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"24.02.2000";"Â";"26 %";"43 %";"7 %";"10 %";"8 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"17.02.2000";"Â";"28 %";"42 %";"8 %";"7 %";"8 %";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"10.02.2000";"Â";"26 %";"41 %";"9 %";"10 %";"8 %";"6 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"03.02.2000";"Â";"28 %";"42 %";"7 %";"9 %";"7 %";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"27.01.2000";"Â";"29 %";"42 %";"7 %";"8 %";"7 %";"7 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"20.01.2000";"Â";"29 %";"44 %";"6 %";"8 %";"8 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"13.01.2000";"Â";"37 %";"40 %";"6 %";"5 %";"7 %";"5 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
"06.01.2000";"Â";"38 %";"40 %";"6 %";"5 %";"7 %";"4 %";"forsa";"http://www.wahlrecht.de/umfragen/forsa/2000.htm"
