Rudolf Amelunxen(fraktionslos/Zentrum);Zentrum, SPD, KPD, FDP (ab 10. September 1946);29.08.1946;05.12.1946;;Kabinett Amelunxen I
Rudolf Amelunxen(fraktionslos/Zentrum);CDU, Zentrum, SPD, KPD, FDP;05.12.1946;17.06.1947;;Kabinett Amelunxen II
Karl Arnold (CDU);CDU, Zentrum, SPD, KPD (bis 7. Februar 1948);17.06.1947;01.08.1950;;Kabinett Arnold I
Karl Arnold (CDU);CDU;01.08.1950;15.09.1950;;Kabinett Arnold II
Karl Arnold (CDU);CDU, Zentrum;15.09.1950;27.07.1954;;
Karl Arnold (CDU);CDU, FDP, Zentrum;27.07.1954;28.02.1956;;Kabinett Arnold III
Fritz Steinhoff (SPD);SPD, FDP, Zentrum;28.02.1956;24.07.1958;;Kabinett Steinhoff
Franz Meyers (CDU);CDU;24.07.1958;26.07.1962;;Kabinett Meyers I
;CDU, FDP;26.07.1962;26.07.1966;;Kabinett Meyers II
;CDU, FDP;26.07.1966;08.12.1966;;Kabinett Meyers III
Heinz Kühn (SPD);SPD, FDP;08.12.1966;28.07.1970;;Kabinett Kühn I
;SPD, FDP;28.07.1970;04.06.1975;;Kabinett Kühn II
;SPD, FDP;04.06.1975;20.09.1978;;Kabinett Kühn III
Johannes Rau (SPD);SPD, FDP;20.09.1978;04.06.1980;;Kabinett Rau I
;SPD;04.06.1980;05.06.1985;;Kabinett Rau II
;SPD;05.06.1985;12.06.1990;;Kabinett Rau III
;SPD;12.06.1990;17.07.1995;;Kabinett Rau IV
;SPD, Bündnis 90/Die Grünen;17.07.1995;09.06.1998;;Kabinett Rau V
Wolfgang Clement(SPD);SPD, Bündnis 90/Die Grünen;09.06.1998;27.06.2000;;Kabinett Clement I
;SPD, Bündnis 90/Die Grünen;27.06.2000;12.11.2002;;Kabinett Clement II
Peer Steinbrück (SPD);SPD, Bündnis 90/Die Grünen;12.11.2002;24.06.2005;;Kabinett Steinbrück
Jürgen Rüttgers (CDU);CDU, FDP;24.06.2005;15.07.2010;;Kabinett Rüttgers
Hannelore Kraft (SPD);SPD, Bündnis 90/Die Grünen;15.07.2010;21.06.2012;;Kabinett Kraft I
;SPD, Bündnis 90/Die Grünen;21.06.2012;30.06.2017;;Kabinett Kraft II
Armin Laschet (CDU);CDU, FDP;30.06.2017;amtierend;;Kabinett Laschet
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
